01N0100010000	Nc-s	Noun common singular	Noun Type=common Number=singular
02V03010203010000010000000000010100	Vois3s--n-----pn	Verb modal indicative past third singular -Negative progressive -Courtesy	Verb Type=modal VForm=indicative Tense=past Person=third Number=singular Negative=no Aspect=progressive Courtesy=no
02V03010203010000020000000000000100	Vois3s--y------n	Verb modal indicative past third singular +Negative -Courtesy	Verb Type=modal VForm=indicative Tense=past Person=third Number=singular Negative=yes Courtesy=no
02V03010203010000020000000000010100	Vois3s--y-----pn	Verb modal indicative past third singular +Negative progressive -Courtesy	Verb Type=modal VForm=indicative Tense=past Person=third Number=singular Negative=yes Aspect=progressive Courtesy=no
02V03010203020000010000000000000000	Vois3p--n	Verb modal indicative past third plural -Negative	Verb Type=modal VForm=indicative Tense=past Person=third Number=plural Negative=no
02V03010203020000010000000000010000	Vois3p--n-----p	Verb modal indicative past third plural -Negative progressive	Verb Type=modal VForm=indicative Tense=past Person=third Number=plural Negative=no Aspect=progressive
02V03010203020000020000000000000000	Vois3p--y	Verb modal indicative past third plural +Negative	Verb Type=modal VForm=indicative Tense=past Person=third Number=plural Negative=yes
02V03010203020000020000000000010000	Vois3p--y-----p	Verb modal indicative past third plural +Negative progressive	Verb Type=modal VForm=indicative Tense=past Person=third Number=plural Negative=yes Aspect=progressive
02V03020000000000010000000000000000	Vos-----n	Verb modal subjunctive -Negative	Verb Type=modal VForm=subjunctive Negative=no
02V03020101010000010000000000000100	Vosp1s--n------n	Verb modal subjunctive present first singular -Negative -Courtesy	Verb Type=modal VForm=subjunctive Tense=present Person=first Number=singular Negative=no Courtesy=no
02V03020101020000010000000000000000	Vosp1p--n	Verb modal subjunctive present first plural -Negative	Verb Type=modal VForm=subjunctive Tense=present Person=first Number=plural Negative=no
02V03020102010000010000000000000200	Vosp2s--n------y	Verb modal subjunctive present second singular -Negative +Courtesy	Verb Type=modal VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=yes
02V03020102010000020000000000000100	Vosp2s--y------n	Verb modal subjunctive present second singular +Negative -Courtesy	Verb Type=modal VForm=subjunctive Tense=present Person=second Number=singular Negative=yes Courtesy=no
02V03020103010000010000000000000100	Vosp3s--n------n	Verb modal subjunctive present third singular -Negative -Courtesy	Verb Type=modal VForm=subjunctive Tense=present Person=third Number=singular Negative=no Courtesy=no
02V03020103010000020000000000000100	Vosp3s--y------n	Verb modal subjunctive present third singular +Negative -Courtesy	Verb Type=modal VForm=subjunctive Tense=present Person=third Number=singular Negative=yes Courtesy=no
02V03020103020000010000000000000000	Vosp3p--n	Verb modal subjunctive present third plural -Negative	Verb Type=modal VForm=subjunctive Tense=present Person=third Number=plural Negative=no
02V03040000000000010000000000000000	Vop-----n	Verb modal participle -Negative	Verb Type=modal VForm=participle Negative=no
02V03040000000000020000000000000000	Vop-----y	Verb modal participle +Negative	Verb Type=modal VForm=participle Negative=yes
02V04010101010000000002000000000100	Vcip1s----y----n	Verb copula indicative present first singular +Clitic -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=first Number=singular Clitic=yes Courtesy=no
02V04010101010000010001000000000100	Vcip1s--n-n----n	Verb copula indicative present first singular -Negative -Clitic -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=first Number=singular Negative=no Clitic=no Courtesy=no
02V04010101010000020000000000000100	Vcip1s--y------n	Verb copula indicative present first singular +Negative -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=first Number=singular Negative=yes Courtesy=no
02V04010101020000000002000000000000	Vcip1p----y	Verb copula indicative present first plural +Clitic	Verb Type=copula VForm=indicative Tense=present Person=first Number=plural Clitic=yes
02V04010101020000010001000000000000	Vcip1p--n-n	Verb copula indicative present first plural -Negative -Clitic	Verb Type=copula VForm=indicative Tense=present Person=first Number=plural Negative=no Clitic=no
02V04010101020000020000000000000000	Vcip1p--y	Verb copula indicative present first plural +Negative	Verb Type=copula VForm=indicative Tense=present Person=first Number=plural Negative=yes
02V04010102010000000002000000000100	Vcip2s----y----n	Verb copula indicative present second singular +Clitic -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=second Number=singular Clitic=yes Courtesy=no
02V04010102010000010001000000000100	Vcip2s--n-n----n	Verb copula indicative present second singular -Negative -Clitic -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=second Number=singular Negative=no Clitic=no Courtesy=no
02V04010102010000010001000000000200	Vcip2s--n-n----y	Verb copula indicative present second singular -Negative -Clitic +Courtesy	Verb Type=copula VForm=indicative Tense=present Person=second Number=singular Negative=no Clitic=no Courtesy=yes
02V04010102010000020000000000000100	Vcip2s--y------n	Verb copula indicative present second singular +Negative -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=second Number=singular Negative=yes Courtesy=no
02V04010102020000010001000000000000	Vcip2p--n-n	Verb copula indicative present second plural -Negative -Clitic	Verb Type=copula VForm=indicative Tense=present Person=second Number=plural Negative=no Clitic=no
02V04010102020000020000000000000000	Vcip2p--y	Verb copula indicative present second plural +Negative	Verb Type=copula VForm=indicative Tense=present Person=second Number=plural Negative=yes
02V04010103010000000002000000000100	Vcip3s----y----n	Verb copula indicative present third singular +Clitic -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=third Number=singular Clitic=yes Courtesy=no
02V04010103010000010001000000000100	Vcip3s--n-n----n	Verb copula indicative present third singular -Negative -Clitic -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=third Number=singular Negative=no Clitic=no Courtesy=no
02V04010103010000020000000000000100	Vcip3s--y------n	Verb copula indicative present third singular +Negative -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=third Number=singular Negative=yes Courtesy=no
02V04010103020000000002000000000000	Vcip3p----y	Verb copula indicative present third plural +Clitic	Verb Type=copula VForm=indicative Tense=present Person=third Number=plural Clitic=yes
02V04010103020000010001000000000000	Vcip3p--n-n	Verb copula indicative present third plural -Negative -Clitic	Verb Type=copula VForm=indicative Tense=present Person=third Number=plural Negative=no Clitic=no
02V04010103020000020000000000000000	Vcip3p--y	Verb copula indicative present third plural +Negative	Verb Type=copula VForm=indicative Tense=present Person=third Number=plural Negative=yes
02V04010201010000010000000000000100	Vcis1s--n------n	Verb copula indicative past first singular -Negative -Courtesy	Verb Type=copula VForm=indicative Tense=past Person=first Number=singular Negative=no Courtesy=no
02V04010201010000010000000000000200	Vcis1s--n------y	Verb copula indicative past first singular -Negative +Courtesy	Verb Type=copula VForm=indicative Tense=past Person=first Number=singular Negative=no Courtesy=yes
02V04010201010000010000000000010100	Vcis1s--n-----pn	Verb copula indicative past first singular -Negative progressive -Courtesy	Verb Type=copula VForm=indicative Tense=past Person=first Number=singular Negative=no Aspect=progressive Courtesy=no
02V04010201010000020000000000000100	Vcis1s--y------n	Verb copula indicative past first singular +Negative -Courtesy	Verb Type=copula VForm=indicative Tense=past Person=first Number=singular Negative=yes Courtesy=no
02V04010201020000010000000000000000	Vcis1p--n	Verb copula indicative past first plural -Negative	Verb Type=copula VForm=indicative Tense=past Person=first Number=plural Negative=no
02V04010201020000020000000000000000	Vcis1p--y	Verb copula indicative past first plural +Negative	Verb Type=copula VForm=indicative Tense=past Person=first Number=plural Negative=yes
02V04010202010000010000000000000100	Vcis2s--n------n	Verb copula indicative past second singular -Negative -Courtesy	Verb Type=copula VForm=indicative Tense=past Person=second Number=singular Negative=no Courtesy=no
02V04010202010000010000000000000200	Vcis2s--n------y	Verb copula indicative past second singular -Negative +Courtesy	Verb Type=copula VForm=indicative Tense=past Person=second Number=singular Negative=no Courtesy=yes
02V04010202010000020000000000000100	Vcis2s--y------n	Verb copula indicative past second singular +Negative -Courtesy	Verb Type=copula VForm=indicative Tense=past Person=second Number=singular Negative=yes Courtesy=no
02V04010202020000010000000000000000	Vcis2p--n	Verb copula indicative past second plural -Negative	Verb Type=copula VForm=indicative Tense=past Person=second Number=plural Negative=no
02V04010203010000010000000000000100	Vcis3s--n------n	Verb copula indicative past third singular -Negative -Courtesy	Verb Type=copula VForm=indicative Tense=past Person=third Number=singular Negative=no Courtesy=no
02V04010203010000010000000000010100	Vcis3s--n-----pn	Verb copula indicative past third singular -Negative progressive -Courtesy	Verb Type=copula VForm=indicative Tense=past Person=third Number=singular Negative=no Aspect=progressive Courtesy=no
02V04010203010000020000000000000100	Vcis3s--y------n	Verb copula indicative past third singular +Negative -Courtesy	Verb Type=copula VForm=indicative Tense=past Person=third Number=singular Negative=yes Courtesy=no
02V04010203010000020000000000010100	Vcis3s--y-----pn	Verb copula indicative past third singular +Negative progressive -Courtesy	Verb Type=copula VForm=indicative Tense=past Person=third Number=singular Negative=yes Aspect=progressive Courtesy=no
02V04010203020000010000000000000000	Vcis3p--n	Verb copula indicative past third plural -Negative	Verb Type=copula VForm=indicative Tense=past Person=third Number=plural Negative=no
02V04010203020000010000000000010000	Vcis3p--n-----p	Verb copula indicative past third plural -Negative progressive	Verb Type=copula VForm=indicative Tense=past Person=third Number=plural Negative=no Aspect=progressive
02V04010203020000020000000000000000	Vcis3p--y	Verb copula indicative past third plural +Negative	Verb Type=copula VForm=indicative Tense=past Person=third Number=plural Negative=yes
02V04020101010000010000000000000100	Vcsp1s--n------n	Verb copula subjunctive present first singular -Negative -Courtesy	Verb Type=copula VForm=subjunctive Tense=present Person=first Number=singular Negative=no Courtesy=no
02V04020102010000010000000000000100	Vcsp2s--n------n	Verb copula subjunctive present second singular -Negative -Courtesy	Verb Type=copula VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=no
02V04020102020000010000000000000000	Vcsp2p--n	Verb copula subjunctive present second plural -Negative	Verb Type=copula VForm=subjunctive Tense=present Person=second Number=plural Negative=no
02V04020103010000010000000000000100	Vcsp3s--n------n	Verb copula subjunctive present third singular -Negative -Courtesy	Verb Type=copula VForm=subjunctive Tense=present Person=third Number=singular Negative=no Courtesy=no
02V04020103010000020000000000000100	Vcsp3s--y------n	Verb copula subjunctive present third singular +Negative -Courtesy	Verb Type=copula VForm=subjunctive Tense=present Person=third Number=singular Negative=yes Courtesy=no
02V04020103020000010000000000000000	Vcsp3p--n	Verb copula subjunctive present third plural -Negative	Verb Type=copula VForm=subjunctive Tense=present Person=third Number=plural Negative=no
02V04020103020000020000000000000000	Vcsp3p--y	Verb copula subjunctive present third plural +Negative	Verb Type=copula VForm=subjunctive Tense=present Person=third Number=plural Negative=yes
02V04030102010000010000000000000100	Vcmp2s--n------n	Verb copula imperative present second singular -Negative -Courtesy	Verb Type=copula VForm=imperative Tense=present Person=second Number=singular Negative=no Courtesy=no
02V04030102010000020000000000000100	Vcmp2s--y------n	Verb copula imperative present second singular +Negative -Courtesy	Verb Type=copula VForm=imperative Tense=present Person=second Number=singular Negative=yes Courtesy=no
02V04040000000000010000000000000000	Vcp-----n	Verb copula participle -Negative	Verb Type=copula VForm=participle Negative=no
02V04040000000000020000000000000000	Vcp-----y	Verb copula participle +Negative	Verb Type=copula VForm=participle Negative=yes
02V05010101010000000002000000000101	Vlip1s----y----nn	Verb light indicative present first singular +Clitic -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=first Number=singular Clitic=yes Courtesy=no Transitive=no
02V05010101010000010001000000000101	Vlip1s--n-n----nn	Verb light indicative present first singular -Negative -Clitic -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=first Number=singular Negative=no Clitic=no Courtesy=no Transitive=no
02V05010101010000010001000000000102	Vlip1s--n-n----ny	Verb light indicative present first singular -Negative -Clitic -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=present Person=first Number=singular Negative=no Clitic=no Courtesy=no Transitive=yes
02V05010101010000020000000000000101	Vlip1s--y------nn	Verb light indicative present first singular +Negative -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=first Number=singular Negative=yes Courtesy=no Transitive=no
02V05010101010000020000000000000102	Vlip1s--y------ny	Verb light indicative present first singular +Negative -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=present Person=first Number=singular Negative=yes Courtesy=no Transitive=yes
02V05010101020000010001000000000001	Vlip1p--n-n-----n	Verb light indicative present first plural -Negative -Clitic -Transitive	Verb Type=light VForm=indicative Tense=present Person=first Number=plural Negative=no Clitic=no Transitive=no
02V05010101020000010001000000000002	Vlip1p--n-n-----y	Verb light indicative present first plural -Negative -Clitic +Transitive	Verb Type=light VForm=indicative Tense=present Person=first Number=plural Negative=no Clitic=no Transitive=yes
02V05010101020000020000000000000001	Vlip1p--y-------n	Verb light indicative present first plural +Negative -Transitive	Verb Type=light VForm=indicative Tense=present Person=first Number=plural Negative=yes Transitive=no
02V05010101020000020000000000000002	Vlip1p--y-------y	Verb light indicative present first plural +Negative +Transitive	Verb Type=light VForm=indicative Tense=present Person=first Number=plural Negative=yes Transitive=yes
02V05010102010000000002000000000101	Vlip2s----y----nn	Verb light indicative present second singular +Clitic -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=singular Clitic=yes Courtesy=no Transitive=no
02V05010102010000010001000000000101	Vlip2s--n-n----nn	Verb light indicative present second singular -Negative -Clitic -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=singular Negative=no Clitic=no Courtesy=no Transitive=no
02V05010102010000010001000000000102	Vlip2s--n-n----ny	Verb light indicative present second singular -Negative -Clitic -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=singular Negative=no Clitic=no Courtesy=no Transitive=yes
02V05010102010000010001000000000201	Vlip2s--n-n----yn	Verb light indicative present second singular -Negative -Clitic +Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=singular Negative=no Clitic=no Courtesy=yes Transitive=no
02V05010102010000010001000000000202	Vlip2s--n-n----yy	Verb light indicative present second singular -Negative -Clitic +Courtesy +Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=singular Negative=no Clitic=no Courtesy=yes Transitive=yes
02V05010102010000020000000000000101	Vlip2s--y------nn	Verb light indicative present second singular +Negative -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=singular Negative=yes Courtesy=no Transitive=no
02V05010102010000020000000000000102	Vlip2s--y------ny	Verb light indicative present second singular +Negative -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=singular Negative=yes Courtesy=no Transitive=yes
02V05010102010000020000000000000201	Vlip2s--y------yn	Verb light indicative present second singular +Negative +Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=singular Negative=yes Courtesy=yes Transitive=no
02V05010102010000020000000000000202	Vlip2s--y------yy	Verb light indicative present second singular +Negative +Courtesy +Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=singular Negative=yes Courtesy=yes Transitive=yes
02V05010102020000010001000000000001	Vlip2p--n-n-----n	Verb light indicative present second plural -Negative -Clitic -Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=plural Negative=no Clitic=no Transitive=no
02V05010102020000010001000000000002	Vlip2p--n-n-----y	Verb light indicative present second plural -Negative -Clitic +Transitive	Verb Type=light VForm=indicative Tense=present Person=second Number=plural Negative=no Clitic=no Transitive=yes
02V05010103010000000002000000000101	Vlip3s----y----nn	Verb light indicative present third singular +Clitic -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=singular Clitic=yes Courtesy=no Transitive=no
02V05010103010000000002000000000102	Vlip3s----y----ny	Verb light indicative present third singular +Clitic -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=singular Clitic=yes Courtesy=no Transitive=yes
02V05010103010000010001000000000101	Vlip3s--n-n----nn	Verb light indicative present third singular -Negative -Clitic -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=singular Negative=no Clitic=no Courtesy=no Transitive=no
02V05010103010000010001000000000102	Vlip3s--n-n----ny	Verb light indicative present third singular -Negative -Clitic -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=singular Negative=no Clitic=no Courtesy=no Transitive=yes
02V05010103010000020000000000000101	Vlip3s--y------nn	Verb light indicative present third singular +Negative -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=singular Negative=yes Courtesy=no Transitive=no
02V05010103010000020000000000000102	Vlip3s--y------ny	Verb light indicative present third singular +Negative -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=singular Negative=yes Courtesy=no Transitive=yes
02V05010103020000000002000000000001	Vlip3p----y-----n	Verb light indicative present third plural +Clitic -Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=plural Clitic=yes Transitive=no
02V05010103020000010001000000000001	Vlip3p--n-n-----n	Verb light indicative present third plural -Negative -Clitic -Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=plural Negative=no Clitic=no Transitive=no
02V05010103020000010001000000000002	Vlip3p--n-n-----y	Verb light indicative present third plural -Negative -Clitic +Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=plural Negative=no Clitic=no Transitive=yes
02V05010103020000020000000000000001	Vlip3p--y-------n	Verb light indicative present third plural +Negative -Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=plural Negative=yes Transitive=no
02V05010103020000020000000000000002	Vlip3p--y-------y	Verb light indicative present third plural +Negative +Transitive	Verb Type=light VForm=indicative Tense=present Person=third Number=plural Negative=yes Transitive=yes
02V05010201010000010000000000000101	Vlis1s--n------nn	Verb light indicative past first singular -Negative -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=singular Negative=no Courtesy=no Transitive=no
02V05010201010000010000000000000102	Vlis1s--n------ny	Verb light indicative past first singular -Negative -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=singular Negative=no Courtesy=no Transitive=yes
02V05010201010000010000000000010101	Vlis1s--n-----pnn	Verb light indicative past first singular -Negative progressive -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=singular Negative=no Aspect=progressive Courtesy=no Transitive=no
02V05010201010000010000000000010102	Vlis1s--n-----pny	Verb light indicative past first singular -Negative progressive -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=singular Negative=no Aspect=progressive Courtesy=no Transitive=yes
02V05010201010000020000000000000101	Vlis1s--y------nn	Verb light indicative past first singular +Negative -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=singular Negative=yes Courtesy=no Transitive=no
02V05010201010000020000000000000102	Vlis1s--y------ny	Verb light indicative past first singular +Negative -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=singular Negative=yes Courtesy=no Transitive=yes
02V05010201020000010000000000000001	Vlis1p--n-------n	Verb light indicative past first plural -Negative -Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=plural Negative=no Transitive=no
02V05010201020000010000000000000002	Vlis1p--n-------y	Verb light indicative past first plural -Negative +Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=plural Negative=no Transitive=yes
02V05010201020000010000000000010001	Vlis1p--n-----p-n	Verb light indicative past first plural -Negative progressive -Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=plural Negative=no Aspect=progressive Transitive=no
02V05010201020000010000000000010002	Vlis1p--n-----p-y	Verb light indicative past first plural -Negative progressive +Transitive	Verb Type=light VForm=indicative Tense=past Person=first Number=plural Negative=no Aspect=progressive Transitive=yes
02V05010202010000010000000000000101	Vlis2s--n------nn	Verb light indicative past second singular -Negative -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=singular Negative=no Courtesy=no Transitive=no
02V05010202010000010000000000000102	Vlis2s--n------ny	Verb light indicative past second singular -Negative -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=singular Negative=no Courtesy=no Transitive=yes
02V05010202010000010000000000000201	Vlis2s--n------yn	Verb light indicative past second singular -Negative +Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=singular Negative=no Courtesy=yes Transitive=no
02V05010202010000010000000000010101	Vlis2s--n-----pnn	Verb light indicative past second singular -Negative progressive -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=singular Negative=no Aspect=progressive Courtesy=no Transitive=no
02V05010202010000010000000000010102	Vlis2s--n-----pny	Verb light indicative past second singular -Negative progressive -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=singular Negative=no Aspect=progressive Courtesy=no Transitive=yes
02V05010202010000010000000000010202	Vlis2s--n-----pyy	Verb light indicative past second singular -Negative progressive +Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=singular Negative=no Aspect=progressive Courtesy=yes Transitive=yes
02V05010202010000020000000000000101	Vlis2s--y------nn	Verb light indicative past second singular +Negative -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=singular Negative=yes Courtesy=no Transitive=no
02V05010202010000020000000000010101	Vlis2s--y-----pnn	Verb light indicative past second singular +Negative progressive -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=singular Negative=yes Aspect=progressive Courtesy=no Transitive=no
02V05010202020000010000000000000001	Vlis2p--n-------n	Verb light indicative past second plural -Negative -Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=plural Negative=no Transitive=no
02V05010202020000010000000000000002	Vlis2p--n-------y	Verb light indicative past second plural -Negative +Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=plural Negative=no Transitive=yes
02V05010202020000010000000000010001	Vlis2p--n-----p-n	Verb light indicative past second plural -Negative progressive -Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=plural Negative=no Aspect=progressive Transitive=no
02V05010202020000010000000000010002	Vlis2p--n-----p-y	Verb light indicative past second plural -Negative progressive +Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=plural Negative=no Aspect=progressive Transitive=yes
02V05010202020000020000000000000002	Vlis2p--y-------y	Verb light indicative past second plural +Negative +Transitive	Verb Type=light VForm=indicative Tense=past Person=second Number=plural Negative=yes Transitive=yes
02V05010203010000010000000000000101	Vlis3s--n------nn	Verb light indicative past third singular -Negative -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=singular Negative=no Courtesy=no Transitive=no
02V05010203010000010000000000000102	Vlis3s--n------ny	Verb light indicative past third singular -Negative -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=singular Negative=no Courtesy=no Transitive=yes
02V05010203010000010000000000010101	Vlis3s--n-----pnn	Verb light indicative past third singular -Negative progressive -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=singular Negative=no Aspect=progressive Courtesy=no Transitive=no
02V05010203010000010000000000010102	Vlis3s--n-----pny	Verb light indicative past third singular -Negative progressive -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=singular Negative=no Aspect=progressive Courtesy=no Transitive=yes
02V05010203010000020000000000000101	Vlis3s--y------nn	Verb light indicative past third singular +Negative -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=singular Negative=yes Courtesy=no Transitive=no
02V05010203010000020000000000000102	Vlis3s--y------ny	Verb light indicative past third singular +Negative -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=singular Negative=yes Courtesy=no Transitive=yes
02V05010203010000020000000000010101	Vlis3s--y-----pnn	Verb light indicative past third singular +Negative progressive -Courtesy -Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=singular Negative=yes Aspect=progressive Courtesy=no Transitive=no
02V05010203010000020000000000010102	Vlis3s--y-----pny	Verb light indicative past third singular +Negative progressive -Courtesy +Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=singular Negative=yes Aspect=progressive Courtesy=no Transitive=yes
02V05010203020000010000000000000001	Vlis3p--n-------n	Verb light indicative past third plural -Negative -Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=plural Negative=no Transitive=no
02V05010203020000010000000000000002	Vlis3p--n-------y	Verb light indicative past third plural -Negative +Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=plural Negative=no Transitive=yes
02V05010203020000010000000000010001	Vlis3p--n-----p-n	Verb light indicative past third plural -Negative progressive -Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=plural Negative=no Aspect=progressive Transitive=no
02V05010203020000010000000000010002	Vlis3p--n-----p-y	Verb light indicative past third plural -Negative progressive +Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=plural Negative=no Aspect=progressive Transitive=yes
02V05010203020000020000000000000001	Vlis3p--y-------n	Verb light indicative past third plural +Negative -Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=plural Negative=yes Transitive=no
02V05010203020000020000000000000002	Vlis3p--y-------y	Verb light indicative past third plural +Negative +Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=plural Negative=yes Transitive=yes
02V05010203020000020000000000010001	Vlis3p--y-----p-n	Verb light indicative past third plural +Negative progressive -Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=plural Negative=yes Aspect=progressive Transitive=no
02V05010203020000020000000000010002	Vlis3p--y-----p-y	Verb light indicative past third plural +Negative progressive +Transitive	Verb Type=light VForm=indicative Tense=past Person=third Number=plural Negative=yes Aspect=progressive Transitive=yes
02V05020101010000010000000000000101	Vlsp1s--n------nn	Verb light subjunctive present first singular -Negative -Courtesy -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=first Number=singular Negative=no Courtesy=no Transitive=no
02V05020101010000010000000000000102	Vlsp1s--n------ny	Verb light subjunctive present first singular -Negative -Courtesy +Transitive	Verb Type=light VForm=subjunctive Tense=present Person=first Number=singular Negative=no Courtesy=no Transitive=yes
02V05020101010000020000000000000101	Vlsp1s--y------nn	Verb light subjunctive present first singular +Negative -Courtesy -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=first Number=singular Negative=yes Courtesy=no Transitive=no
02V05020101020000010000000000000001	Vlsp1p--n-------n	Verb light subjunctive present first plural -Negative -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=first Number=plural Negative=no Transitive=no
02V05020101020000010000000000000002	Vlsp1p--n-------y	Verb light subjunctive present first plural -Negative +Transitive	Verb Type=light VForm=subjunctive Tense=present Person=first Number=plural Negative=no Transitive=yes
02V05020102010000010000000000000101	Vlsp2s--n------nn	Verb light subjunctive present second singular -Negative -Courtesy -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=no Transitive=no
02V05020102010000010000000000000102	Vlsp2s--n------ny	Verb light subjunctive present second singular -Negative -Courtesy +Transitive	Verb Type=light VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=no Transitive=yes
02V05020102010000010000000000000201	Vlsp2s--n------yn	Verb light subjunctive present second singular -Negative +Courtesy -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=yes Transitive=no
02V05020102010000010000000000000202	Vlsp2s--n------yy	Verb light subjunctive present second singular -Negative +Courtesy +Transitive	Verb Type=light VForm=subjunctive Tense=present Person=second Number=singular Negative=no Courtesy=yes Transitive=yes
02V05020102020000010000000000000001	Vlsp2p--n-------n	Verb light subjunctive present second plural -Negative -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=second Number=plural Negative=no Transitive=no
02V05020102020000010000000000000002	Vlsp2p--n-------y	Verb light subjunctive present second plural -Negative +Transitive	Verb Type=light VForm=subjunctive Tense=present Person=second Number=plural Negative=no Transitive=yes
02V05020103010000010000000000000101	Vlsp3s--n------nn	Verb light subjunctive present third singular -Negative -Courtesy -Transitive	Verb Type=light VForm=subjunctive Tense=present Person=third Number=singular Negative=no Courtesy=no Transitive=no
02V05020103010000010000000000000102	Vlsp3s--n------ny	Verb light subjunctive present third singular -Negative -Courtesy +Transitive	Verb Type=light VForm=subjunctive Tense=present Person=third Number=singular Negative=no Courtesy=no Transitive=yes
