01N0100010000	Nc-s	Noun common singular	Noun Type=common Number=singular
02V01010203010000020000000000010101	Vmis3s--y-----pnn	Verb main indicative past third singular +Negative progressive -Courtesy -Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=singular Negative=yes Aspect=progressive Courtesy=no Transitive=no
02V01010203010000020000000000010102	Vmis3s--y-----pny	Verb main indicative past third singular +Negative progressive -Courtesy +Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=singular Negative=yes Aspect=progressive Courtesy=no Transitive=yes
02V01010203020000010000000000000001	Vmis3p--n-------n	Verb main indicative past third plural -Negative -Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=plural Negative=no Transitive=no
02V01010203020000010000000000000002	Vmis3p--n-------y	Verb main indicative past third plural -Negative +Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=plural Negative=no Transitive=yes
02V01010203020000010000000000010001	Vmis3p--n-----p-n	Verb main indicative past third plural -Negative progressive -Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=plural Negative=no Aspect=progressive Transitive=no
02V01010203020000010000000000010002	Vmis3p--n-----p-y	Verb main indicative past third plural -Negative progressive +Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=plural Negative=no Aspect=progressive Transitive=yes
02V01010203020000020000000000000001	Vmis3p--y-------n	Verb main indicative past third plural +Negative -Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=plural Negative=yes Transitive=no
02V01010203020000020000000000000002	Vmis3p--y-------y	Verb main indicative past third plural +Negative +Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=plural Negative=yes Transitive=yes
02V01010203020000020000000000010001	Vmis3p--y-----p-n	Verb main indicative past third plural +Negative progressive -Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=plural Negative=yes Aspect=progressive Transitive=no
02V01010203020000020000000000010002	Vmis3p--y-----p-y	Verb main indicative past third plural +Negative progressive +Transitive	Verb Type=main VForm=indicative Tense=past Person=third Number=plural Negative=yes Aspect=progressive Transitive=yes
02V01020101010000010000000000000101	Vmsp1s--n------nn	Verb main subjunctive present first singular -Negative -Courtesy -Transitive	Verb Type=main VForm=subjunctive Tense=present Person=first Number=singular Negative=no Courtesy=no Transitive=no
02V01020101010000010000000000000102	Vmsp1s--n------ny	Verb main subjunctive present first singular -Negative -Courtesy +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=first Number=singular Negative=no Courtesy=no Transitive=yes
02V01020101010000020000000000000101	Vmsp1s--y------nn	Verb main subjunctive present first singular +Negative -Courtesy -Transitive	Verb Type=main VForm=subjunctive Tense=present Person=first Number=singular Negative=yes Courtesy=no Transitive=no
02V01020101020000010000000000000001	Vmsp1p--n-------n	Verb main subjunctive present first plural -Negative -Transitive	Verb Type=main VForm=subjunctive Tense=present Person=first Number=plural Negative=no Transitive=no
02V01020101020000010000000000000002	Vmsp1p--n-------y	Verb main subjunctive present first plural -Negative +Transitive	Verb Type=main VForm=subjunctive Tense=present Person=first Number=plural Negative=no Transitive=yes
